id,categoryName,subCategory,colorName,designName,itemNumber,,ItemNumberForVarients,itemdescription id
95,Reflective,Normal,اخضر غامق,,01105-050-4,,00101-040-4,6
96,Reflective,Normal,اخضر غامق,,01105-053-4,,00101-040-4,6
97,Reflective,Normal,اخضر غامق,,01105-053-4,,00101-047-4,7
98,Reflective,Normal,اخضر غامق,,01105-055-4,,00101-047-4,7
99,Reflective,Normal,ازرق فاتح,,01106-055-4,,00101-047-4,7
100,Reflective,Normal,ازرق فاتح,,01106-060-4,,00101-050-4,9
101,Reflective,Normal,ازرق فاتح,,01106-080-4,,00101-050-4,9
102,Reflective,Normal,ازرق غامق,,01107-050-4,,00101-050-4,9
103,Reflective,Normal,ازرق غامق,,01107-053-4,,00101-050-4,9
104,Reflective,Normal,ازرق غامق,,01107-053-4,,00101-050-4,9
105,Reflective,Normal,ازرق غامق,,01107-055-4,,00101-050-4,9
106,Reflective,Normal,ازرق غامق,,01107-060-4,,00101-050-4,9
107,Reflective,Normal,زهر,,01111-060-4,,00101-050-4,9
108,Reflective,Normal,SuperSilver,,01114-060-4,,00101-050-4,9
109,Translucent,Low E - Hard,ابيض,,01201-060-0,,00101-050-4,9
110,Translucent,Low E - Soft,ابيض,,01201-060-1,,00101-050-4,9
111,Translucent,Low E - Soft,ابيض,,01201-060-1,,00101-050-4,9
112,Translucent,Low E - Soft,ابيض,,01201-060-1,,00101-050-4,9
113,Translucent,Low E - Hard,ابيض,,01201-080-0,,00101-050-4,9
114,Translucent,Low E - Soft,ابيض,,01201-080-1,,00101-050-4,9
115,Translucent,Low E - Soft,ابيض,,01201-080-1,,00101-050-4,9
116,Translucent,Low E - Soft,ابيض,,01201-100-1,,00101-050-4,9
117,Translucent,Low E - Soft,ابيض,,01201-100-1,,00101-050-4,9
118,Translucent,Wired,ابيض,,02101-055-4,,00101-050-4,9
119,Translucent,Wired,ابيض,,02101-060-4,,00101-050-4,9
120,Translucent,Wired - Big,ابيض,,02101-060-5,,00101-050-4,9
121,Translucent,Wired - Clear,ابيض,,02101-060-6,,00101-050-4,9
122,Translucent,Wired - Delta,ابيض,,02101-060-7,,00101-050-4,9
123,Translucent,Wired,اسود,,02102-060-4,,00101-050-4,9
124,Translucent,Wired,برونز,,02103-060-4,,00101-050-4,9
125,Translucent,Wired,اخضر,,02104-060-4,,00101-050-4,9
126,Translucent,Wired,ازرق,,02106-060-4,,00101-050-4,9
127,Translucent,Wired,عسلي,,02113-060-4,,00101-050-4,9
128,Translucent,Nashiji,ابيض,,02201-040-0,,00101-050-4,9
129,Translucent,Nashiji,ابيض,,02201-055-0,,00101-050-4,9
130,Translucent,Nashiji,ابيض,,02201-080-0,,00101-050-4,9
131,Translucent,Nashiji,ابيض,,02201-100-0,,00101-050-4,9
132,Translucent,Nashiji,اسود,,02202-050-0,,00101-050-4,9
133,Translucent,Nashiji,اسود,,02202-053-0,,00101-050-4,9
134,Translucent,Nashiji,اسود,,02202-055-0,,00101-050-4,9
135,Translucent,Nashiji,برونز,,02203-055-0,,00101-050-4,9
136,Translucent,Nashiji,اخضر غامق,,02205-055-0,,00101-050-4,9
137,Translucent,Acid,مغشى,,02310-040-0,,00101-050-4,9
138,Translucent,Acid,مغشى,,02310-060-0,,00101-050-4,9
139,Translucent,Acid,مغشى,,02310-080-0,,00101-050-4,9
140,Translucent,Acid,مغشى,,02310-100-0,,00101-050-4,9
141,Translucent,Acid,مغشى,,02310-120-0,,00101-055-0,10
142,Translucent,Acid,مغشى,,02410-030-0,,00101-055-0,10
143,Translucent,Acid,مغشى,,02410-040-0,,00101-055-0,10
144,Translucent,Acid,مغشى,,02410-050-0,,00101-055-0,10
145,Translucent,Acid,مغشى,,02410-060-0,,00101-055-1,11
146,Translucent,Fire Rated,ابيض,,02501-040-4,,00101-055-1,11
147,Mirror,Silver,ابيض,,03101-030-4,,00101-055-1,11
148,Mirror,Aluminum,ابيض,,03101-030-6,,00101-055-1,11
149,Mirror,Silver - Small,ابيض,,03101-040-0,,00101-055-1,11
150,Mirror,Silver,ابيض,,03101-040-4,,00101-055-1,11
151,Mirror,Aluminum,ابيض,,03101-040-6,,00101-055-1,11
152,Mirror,Silver,ابيض,,03101-050-4,,00101-055-1,11
153,Mirror,Aluminum,ابيض,,03101-050-6,,00101-055-1,11
154,Mirror,Silver,ابيض,,03101-060-4,,00101-055-1,11
155,Mirror,Silver,ابيض,,03101-080-4,,00101-055-1,11
156,Mirror,Silver,اسود,,03102-040-4,,00101-055-1,11
157,Mirror,Silver,اسود,,03102-050-4,,00101-055-1,11
158,Mirror,Silver,اسود,,03102-060-4,,00101-055-1,11
159,Mirror,Silver,برونز,,03103-040-4,,00101-055-1,11
160,Mirror,Silver,برونز,,03103-050-4,,00101-055-4,12
161,Mirror,Silver,برونز,,03103-060-4,,00101-055-4,12
162,Mirror,Silver,اخضر,,03104-050-4,,00101-055-4,12
163,Mirror,Silver,اخضر,,03104-060-4,,00101-055-4,12
164,Mirror,Silver,ازرق,,03106-040-4,,00101-055-4,12
165,Mirror,Silver,ازرق,,03106-050-4,,00101-055-4,12
166,Mirror,Silver,زهر,,03111-040-4,,00101-055-4,12
167,Mirror,Silver,زهر,,03111-050-4,,00101-055-4,12
