id,categoryName,subCategory,colorName,designName,itemNumber,,ItemNumberForVarients,itemdescription id
194,Laminated,Normal,برونز,,04103-100-4,,00101-055-4,
195,Laminated,Normal,برونز,,04103-120-4,,00101-055-4,
196,Laminated,Normal,اخضر,,04104-060-4,,00101-055-4,
197,Laminated,Normal,اخضر,,04104-080-4,,00101-055-4,
198,Laminated,Normal,مغشى,,04110-060-4,,00101-055-4,
199,Laminated,Normal,مغشى,,04110-080-4,,00101-055-4,
200,Laminated,Normal,مغشى,,04110-100-4,,00101-055-4,
201,Laminated,Normal,مغشى,,04110-120-4,,00101-055-4,
202,Laminated,Normal,مغشى,,04110-162-4,,00101-055-4,
203,Laminated,Laminated Low E,ابيض,,04201-080-0,,00101-055-4,
204,Laminated,Laminated Acoustic,ابيض,,04301-062-0,,00101-055-4,
205,Laminated,Laminated Acoustic,ابيض,,04301-082-0,,00101-055-4,
206,Laminated,Laminated Acoustic,ابيض,,04301-102-0,,00101-055-4,
207,Laminated,Laminated Acoustic,ابيض,,04301-122-0,,00101-055-4,
208,Extra Clear,Extra Clear,كريستال,,05212-040-0,,00101-055-4,
209,Extra Clear,Extra Clear,كريستال,,05212-060-0,,00101-055-4,
210,Extra Clear,Extra Clear - 244,كريستال,,05212-060-5,,00101-055-4,
211,Extra Clear,Extra Clear,كريستال,,05212-080-0,,00101-055-4,
212,Extra Clear,Extra Clear - 244,كريستال,,05212-080-5,,00101-055-4,
213,Extra Clear,Extra Clear,كريستال,,05212-100-0,,00101-055-4,
214,Extra Clear,Extra Clear - 244,كريستال,,05212-100-5,,00101-055-4,
215,Extra Clear,Extra Clear,كريستال,,05212-120-0,,00101-055-4,
216,Extra Clear,Extra Clear - 244,كريستال,,05212-120-5,,00101-055-4,
217,Extra Clear,Extra Clear,كريستال,,05212-150-0,,00101-055-4,
218,Extra Clear,Extra Clear - Jumbo,كريستال,,05212-150-9,,00101-055-4,
219,Extra Clear,Extra Clear,كريستال,,05212-190-0,,00101-055-4,
220,Decorative,Painted,اسود,,06102-040-4,,00101-055-4,
221,Decorative,Painted,اسود,,06102-060-4,,00101-055-4,
222,Decorative,Painted,كريستال ابيض,,06112-040-4,,00101-055-4,
223,Decorative,Painted,كريستال ابيض,,06112-060-4,,00101-055-4,
224,Decorative,Colored,اخضر,,06204-030-0,,00101-055-4,
225,Decorative,Colored,ازرق,,06206-030-0,,00101-055-4,
226,Decorative,Colored,عسلي,,06213-030-0,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
,,,,,,,00101-055-4,
